t_i	t_f	elapsed	project	comment
2020-11-06 23:13	2020-11-07 00:44	01:31:04	Exercise Logger	
2020-11-09 08:44	2020-11-09 17:15	08:31:20	PV	
2020-11-10 11:17	2020-11-10 15:24	04:06:34	Tauganetslíkan	
2020-11-11 08:32	2020-11-11 17:07	08:34:34	Power Repo	
2020-11-11 20:15	2020-11-11 22:14	01:59:43	Power Repo	
2020-11-12 08:15	2020-11-12 18:44	10:28:53	Power Repo	
2020-11-13 22:45	2020-11-13 00:35	01:50:12	Power Repo	
2020-11-16 07:00	2020-11-17 12:41	05:41:43	Power Repo	
2020-11-17 08:42	2020-11-17 17:39	08:57:22	Power Repo	
2020-11-18 07:44	2020-11-18 16:56	09:12:47	Power Repo	
2020-11-18 19:53	2020-11-18 22:07	02:13:59	Power Repo	
2020-11-19 08:08	2020-11-20 16:25	08:17:01	Power Repo	
2020-11-21 20:20	2020-11-22 02:04	03:46:00	Power Repo	
2020-11-24 12:36	2020-11-24 12:37	00:01:00	Power Repo	test
2020-11-24 12:40	2020-11-24 12:40	00:00:00	testing	tttt
2020-11-24 12:59	2020-11-24 12:59	00:00:00	testing	ttt
2020-11-24 08:59	2020-11-24 12:59	04:00:00	testing	t
2020-11-24 01:00	2020-11-24 13:00	12:00:00	testing	ttt
2020-11-24 01:01	2020-11-24 13:01	12:00:00	testing	ttt
2020-11-24 12:34	2020-11-24 14:34	02:00:00	testing	gogogo
2020-11-24 15:44	2020-11-24 15:49	00:05:00	testing hotkeys	bras
2020-11-24 15:49	2020-11-24 15:50	00:01:00	testing	hotkeys
2020-11-24 15:50	2020-11-24 15:51	00:01:00	testing	hotkeys
2020-11-24 15:51	2020-11-24 15:52	00:01:00	testing hotkeys	
2020-11-24 16:10	2020-11-24 16:20	00:10:00	testing	functionality
2020-11-24 15:25	2020-11-24 16:26	01:01:00	testing	functionality
2020-11-24 15:26	2020-11-24 16:26	01:00:00	testing	hotkeys
2020-11-24 16:26	2020-11-24 16:27	00:01:00	testing	hotkeys
2020-11-24 16:27	2020-11-24 16:28	00:01:00	testing	testing
2020-11-24 16:23	2020-11-24 16:29	00:06:00	testing	hotkeys
2020-11-24 16:29	2020-11-24 16:29	00:00:00	testing	hotkeys
2020-11-24 16:32	2020-11-24 16:32	00:00:00	testing	hotkeys
2020-11-24 13:34	2020-11-24 16:34	03:00:00	testing hotkeys	virkaaaaaaaar
2020-11-24 16:34	2020-11-24 16:40	00:06:00	testing	hotkeys seem to freeze the time??
2020-11-24 16:34	2020-11-24 16:57	00:23:00	testing	reload
2020-11-24 16:57	2020-11-24 16:58	00:01:00	testing	reload
2020-11-24 16:59	2020-11-24 16:59	00:00:00	testing	reload
2020-11-24 17:10	2020-11-24 17:13	00:03:00	testing	reload
2020-11-24 17:13	2020-11-24 17:16	00:03:00	testing	reload
2020-11-24 17:24	2020-11-24 17:24	00:00:00	testing	reload
2020-11-24 17:26	2020-11-24 17:29	00:03:00	testing	reload
2020-11-24 17:30	2020-11-24 17:34	00:04:00	testing	reload
2020-11-24 17:41	2020-11-24 17:41	00:00:00	testing	reload
2020-11-24 17:41	2020-11-24 17:49	00:08:00	testing	reload
2020-11-24 17:49	2020-11-24 17:49	00:00:00	testing	reload
2020-11-24 17:50	2020-11-24 17:51	00:01:00	testing	reload
2020-11-24 19:56	2020-11-24 19:56	00:00:00	Testing	reload
2020-11-24 19:53	2020-11-24 19:58	00:05:00	testing	reload
2020-11-24 19:58	2020-11-24 21:48	01:50:00	testing	reload - seems to be working
2020-11-24 22:22	2020-11-24 22:23	00:01:00	testing	reload
